Code,Occupation,Job Family,Cluster
47-2053.00,terrazzo workers finishers,Construction and Extraction,0
51-6061.00,textile bleaching dyeing machine operators tenders,Production,0
51-6062.00,textile cutting machine setters operators tenders,Production,0
51-6063.00,textile knitting weaving machine setters operators tenders,Production,0
51-6064.00,textile winding twisting drawing machine setters operators tenders,Production,0
51-6099.00,textile apparel furnishings workers,Production,0
29-1129.00,therapists,Healthcare Practitioners and Technical,0
47-2044.00,tile stone setters,Construction and Extraction,0
51-2061.00,timing device assemblers adjusters,Production,0
51-9197.00,tire builders,Production,0
49-3093.00,tire repairers changers,"Installation, Maintenance, and Repair",0
23-2093.00,title examiners abstractors searchers,Legal,0
51-4111.00,tool die makers,Production,0
51-4194.00,tool grinders filers sharpeners,Production,0
39-7011.00,tour guides escorts,Personal Care and Service,0
53-6041.00,traffic technicians,Transportation and Material Moving,1
11-3131.00,training development managers,Management,7
13-1151.00,training development specialists,Business and Financial Operations,4
33-3052.00,transit railroad police,Protective Service,0
17-2051.01,transportation engineers,Architecture and Engineering,9
53-6051.00,transportation inspectors,Transportation and Material Moving,0
19-3099.01,transportation planners,"Life, Physical, and Social Science",0
33-9093.00,transportation security screeners,Protective Service,0
53-6051.07,transportation vehicle equipment systems inspectors except aviation,Transportation and Material Moving,5
53-6099.00,transportation workers,Transportation and Material Moving,0
11-3071.00,transportation storage distribution managers,Management,7
41-3041.00,travel agents,Sales and Related,3
39-7012.00,travel guides,Personal Care and Service,0
11-3031.01,treasurers controllers,Management,0
37-3013.00,tree trimmers pruners,Building and Grounds Cleaning and Maintenance,0
25-3041.00,tutors,Educational Instruction and Library,0
27-2023.00,umpires referees sports officials,"Arts, Design, Entertainment, Sports, and Media",0
47-5049.00,underground mining machine operators,Construction and Extraction,0
51-6093.00,upholsterers,Production,0
19-3051.00,urban regional planners,"Life, Physical, and Social Science",0
29-1229.03,urologists,Healthcare Practitioners and Technical,0
39-3031.00,ushers lobby attendants ticket takers,Personal Care and Service,0
17-2112.02,validation engineers,Architecture and Engineering,9
29-1131.00,veterinarians,Healthcare Practitioners and Technical,0
31-9096.00,veterinary assistants laboratory animal caretakers,Healthcare Support,0
29-2056.00,veterinary technologists technicians,Healthcare Practitioners and Technical,1
15-1255.01,video game designers,Computer and Mathematical,0
35-3031.00,waiters waitresses,Food Preparation and Serving Related,0
49-9064.00,watch clock repairers,"Installation, Maintenance, and Repair",0
51-8031.00,water wastewater treatment plant system operators,Production,0
11-9121.02,water resource specialists,Management,4
17-2051.02,waterwastewater engineers,Architecture and Engineering,9
47-4099.03,weatherization installers technicians,Construction and Extraction,1
15-1299.01,web administrators,Computer and Mathematical,0
15-1255.00,web digital interface designers,Computer and Mathematical,0
15-1254.00,web developers,Computer and Mathematical,0
43-5111.00,weighers measurers checkers samplers recordkeeping,Office and Administrative Support,0
51-4121.00,welders cutters solderers brazers,Production,0
51-4122.00,welding soldering brazing machine setters operators tenders,Production,0
53-7073.00,wellhead pumpers,Transportation and Material Moving,0
13-1022.00,wholesale retail buyers except farm products,Business and Financial Operations,3
11-9199.10,wind energy development managers,Management,7
17-2199.10,wind energy engineers,Architecture and Engineering,9
11-9199.09,wind energy operations managers,Management,7
49-9081.00,wind turbine service technicians,"Installation, Maintenance, and Repair",1
51-7099.00,woodworkers,Production,0
51-7042.00,woodworking machine setters operators tenders except sawing,Production,0
43-9022.00,word processors typists,Office and Administrative Support,0
27-3043.00,writers authors,"Arts, Design, Entertainment, Sports, and Media",0
19-1023.00,zoologists wildlife biologists,"Life, Physical, and Social Science",0
